City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Roald,100,NO,1604810882,93,62.58,6.13,6.11,1.5
Rivera,2,UY,1604810882,96,-30.91,-55.55,14.98,3.47
Mehamn,80,NO,1604810882,75,71.04,27.85,3.8,13.81
Polunochnoye,33,RU,1604810883,93,60.87,60.42,-1.43,2.78
Pendleton,90,US,1604810883,86,45.67,-118.79,4.44,5.7
Puro,96,PH,1604810884,73,12.48,123.38,28.48,2.38
Calvinia,57,ZA,1604810884,77,-31.47,19.78,9.76,3.93
Letlhakeng,0,BW,1604810884,29,-24.09,25.03,27.48,2.35
Viedma,100,AR,1604810885,89,-40.81,-63.0,13.33,0.89
Kinkala,85,CG,1604810885,88,-4.36,14.76,24.0,1.0
Ghanzi,23,BW,1604810670,20,-21.57,21.78,27.07,3.92
Dayong,75,CN,1604810886,44,25.02,118.29,25.0,6.0
Kilsyth,100,GB,1604810886,96,55.98,-4.06,6.67,2.24
Charlestown,26,AU,1604810887,62,-32.95,151.67,19.44,0.89
Anadyr,75,RU,1604810887,85,64.75,177.48,-8.0,1.0
Maragogi,25,BR,1604810888,83,-9.01,-35.22,24.67,4.52
Olinda,75,BR,1604810651,74,-8.01,-34.86,27.0,5.7
Dhidhdhoo,54,MV,1604810889,73,6.88,73.1,29.02,5.89
Nkhata Bay,4,MW,1604810889,54,-11.61,34.29,27.09,3.26
Mareeba,0,AU,1604810889,45,-17.0,145.43,32.22,7.2
Bom Jardim,34,BR,1604810890,94,-7.8,-35.59,21.62,3.46
Tikaitnagar,0,IN,1604810890,30,26.95,81.58,26.52,0.79
Nadvoitsy,0,RU,1604810890,87,63.87,34.32,1.0,6.7
Shihezi,0,CN,1604810891,46,44.3,86.03,8.26,1.39
Khovd,33,MN,1604810891,70,48.01,91.64,2.66,1.02
Muroto-misakicho,75,JP,1604810892,49,33.28,134.15,21.0,5.7
Inírida,100,CO,1604810892,97,3.87,-67.92,23.71,1.08
Gilgit,17,PK,1604810892,23,35.92,74.31,14.71,0.56
Sørland,99,NO,1604810651,69,67.67,12.69,5.61,7.28
Misratah,27,LY,1604810893,69,32.38,15.09,20.32,5.54
Kastornoye,24,RU,1604810894,95,51.83,38.13,6.47,8.19
Fallon,90,US,1604810894,86,39.47,-118.78,5.56,6.96
Orán,100,AR,1604810844,63,-23.13,-64.33,25.0,0.91
Jumla,0,NP,1604810895,24,29.27,82.18,17.69,1.93
Firminy,100,FR,1604810798,87,45.39,4.29,13.0,2.6
Kutulik,97,RU,1604810895,82,53.35,102.78,2.31,2.89
Mokhsogollokh,99,RU,1604810896,89,61.47,128.92,-17.6,2.91
Sarangani,46,PH,1604810896,76,5.4,125.46,28.71,6.58
Hamilton,1,US,1604810670,58,39.18,-84.53,14.0,1.43
Tamworth,90,GB,1604810897,100,52.63,-1.7,9.0,1.0
Puerto Parra,71,CO,1604810897,94,6.65,-74.06,23.14,0.45
Caeté,0,BR,1604810897,78,-19.88,-43.67,22.0,1.0
Flagstaff,90,US,1604810880,69,35.2,-111.65,1.67,10.8
Baykit,100,RU,1604810898,89,61.67,96.37,1.45,2.24
Uray,82,RU,1604810899,98,60.12,64.78,-0.46,2.43
Yabrūd,75,SY,1604810899,87,33.97,36.66,13.0,5.1
Dolores,0,AR,1604810899,94,-36.31,-57.68,13.27,2.31
Syedove,0,UA,1604810900,100,47.08,38.16,6.11,0.89
Buraidah,40,SA,1604810836,100,26.33,43.98,18.0,1.5
Scottsbluff,1,US,1604810901,65,41.87,-103.67,13.89,4.1
Touros,20,BR,1604810901,83,-5.2,-35.46,26.0,3.6
Tikrit,23,IQ,1604810901,41,34.61,43.68,20.65,2.17
Ampanihy,0,MG,1604810902,42,-24.7,44.75,29.02,2.33
Srednekolymsk,85,RU,1604810902,91,67.45,153.68,-20.37,3.41
Churapcha,100,RU,1604810903,89,62.0,132.43,-21.14,2.53
Madang,41,PG,1604810903,61,-5.22,145.8,30.05,3.23
Tierra Nueva,54,MX,1604810903,86,21.68,-100.57,10.83,1.12
Bilozerka,75,UA,1604810904,93,46.62,32.44,5.0,1.0
Santa Rosa,75,PH,1604810904,66,14.31,121.11,32.0,3.1
Leh,0,IN,1604810904,43,34.17,77.58,3.13,1.39
Seymour,0,US,1604810905,89,38.96,-85.89,12.22,2.06
Sanmenxia,60,CN,1604810905,25,34.77,111.18,18.78,1.43
Westlock,90,CA,1604810906,85,54.15,-113.87,-8.0,8.7
Ukiah,1,US,1604810906,81,39.15,-123.21,11.0,4.6
Gao,0,ML,1604810906,23,16.64,1.64,21.33,6.19
Vizinga,97,RU,1604810907,81,61.07,50.1,3.12,4.84
Batagay,43,RU,1604810907,84,67.63,134.63,-31.71,0.62
Great Falls,90,US,1604810824,92,47.5,-111.3,-1.0,9.8
Nuuk,92,GL,1604810908,79,64.18,-51.72,-7.0,6.7
Port-Gentil,100,GA,1604810787,95,-0.72,8.78,23.69,2.48
Paraná,13,AR,1604810909,65,-31.73,-60.52,19.44,4.7
Luwingu,0,ZM,1604810909,57,-10.26,29.93,23.28,1.08
Amazar,82,RU,1604810910,77,53.86,120.88,-7.92,1.65
Iguape,1,BR,1604810910,90,-24.71,-47.56,16.7,1.75
Abu Samrah,2,SY,1604810911,64,35.3,37.18,15.27,2.99
Qui Nhon,91,VN,1604810911,76,13.77,109.23,26.25,9.88
Korla,0,CN,1604810684,80,41.76,86.15,9.44,2.85
Prescott,90,US,1604810912,56,34.54,-112.47,5.56,5.7
Upata,92,VE,1604810912,90,8.01,-62.4,26.11,0.45
Siocon,33,PH,1604810913,73,7.71,122.14,28.63,0.72
Benton Harbor,1,US,1604810913,62,42.12,-86.45,14.44,2.6
Itoman,75,JP,1604810913,78,26.12,127.67,27.0,8.2
Latung,46,PH,1604810914,73,5.5,120.88,28.3,3.36
Batagay-Alyta,27,RU,1604810625,80,67.8,130.41,-24.25,0.11
Karratha,0,AU,1604810914,29,-20.74,116.85,32.83,8.45
Sola,61,VU,1604810915,79,-13.88,167.55,27.69,5.45
Wasilla,90,US,1604810915,86,61.58,-149.44,-1.67,5.7
Arcata,90,US,1604810915,87,40.87,-124.08,10.0,6.2
Kudahuvadhoo,73,MV,1604810916,68,2.67,72.89,29.07,2.49
Portland,20,US,1604810916,80,45.52,-122.68,5.0,8.7
Dawei,70,MM,1604810676,52,14.08,98.2,30.17,4.91
Ust-Kuyga,100,RU,1604810917,86,70.02,135.6,-29.61,2.27
Hecun,0,CN,1604810917,27,36.53,114.11,14.45,2.47
Ulladulla,75,AU,1604810643,52,-35.35,150.47,19.0,5.1
Padang,100,ID,1604810918,81,-0.95,100.35,26.01,2.42
Broome,1,US,1604810919,58,42.25,-75.83,13.0,3.1
Witu,1,KE,1604810919,83,-2.39,40.44,27.0,2.1
Pangkalanbuun,88,ID,1604810919,74,-2.68,111.62,30.25,1.72
Yulara,18,AU,1604810920,7,-25.24,130.99,37.0,5.7
Tautira,75,PF,1604810920,74,-17.73,-149.15,27.0,2.1
Shagonar,4,RU,1604810920,82,51.53,92.8,2.04,1.05
Cuenca,65,EC,1604810921,76,-2.88,-78.98,11.0,1.0
Sechura,9,PE,1604810921,80,-5.56,-80.82,17.68,4.64
Ribas do Rio Pardo,3,BR,1604810922,39,-20.44,-53.76,24.33,0.75
Karasjok,0,NO,1604810922,69,69.47,25.51,3.0,21.1
Prince Rupert,1,CA,1604810923,100,54.32,-130.32,4.0,2.6
Bud,1,US,1604810923,71,39.45,-86.18,13.89,1.5
Cavalcante,97,BR,1604810923,81,-13.8,-47.46,20.47,1.59
Isangel,22,VU,1604810641,78,-19.55,169.27,26.46,5.25
Muravlenko,100,RU,1604810924,99,63.79,74.52,0.37,4.23
Dalmatovo,100,RU,1604810925,92,56.26,62.94,1.63,3.9
Nynäshamn,75,SE,1604810925,69,58.9,17.95,8.33,3.98
Kalmunai,79,LK,1604810925,61,7.42,81.82,30.34,3.25
Thinadhoo,68,MV,1604810699,67,0.53,72.93,29.28,2.94
Sémbé,100,CG,1604810926,95,1.65,14.58,21.02,0.89
Pahrump,5,US,1604810926,67,36.21,-115.98,6.11,1.79
Duluth,90,US,1604810927,93,46.78,-92.11,6.0,4.1
Muros,85,ES,1604810927,90,42.78,-9.06,15.56,14.31
Dongsheng,0,CN,1604810625,50,39.82,109.98,7.01,4.59
Umm Kaddadah,14,SD,1604810928,34,13.6,26.69,20.7,5.53
Sindor,100,RU,1604810928,98,62.86,51.89,0.36,2.97
Margate,41,GB,1604810929,89,51.38,1.39,11.67,5.67
Kirkenes,69,NO,1604810752,84,69.73,30.05,2.0,9.3
Mochumí,3,PE,1604810929,85,-6.55,-79.86,16.11,3.03
Solone,90,UA,1604810930,93,48.21,34.87,6.0,3.0
Kamina,31,CD,1604810930,95,-8.74,24.99,18.88,1.5
Coruripe,2,BR,1604810931,84,-10.13,-36.18,24.33,4.42
Valdivia,100,CL,1604810418,54,-39.81,-73.25,13.0,4.6
Sioux Lookout,90,CA,1604810931,96,50.1,-91.92,0.0,2.6
Bend,40,US,1604810932,94,44.06,-121.32,0.0,2.1
Barra do Garças,94,BR,1604810859,82,-15.89,-52.26,23.28,1.48
Narsaq,100,GL,1604810932,79,60.92,-46.05,-3.0,4.6
Pangai,16,TO,1604810933,80,-19.8,-174.35,23.93,6.99
Orange,40,US,1604810933,62,33.7,-117.77,14.44,2.1
Horasan,9,TR,1604810933,77,40.05,42.17,3.06,0.7
Refojos de Basto,80,PT,1604810934,88,41.51,-8.0,13.89,0.45
São Filipe,85,CV,1604810698,73,14.9,-24.5,26.22,3.62
Paka,40,MY,1604810934,79,4.64,103.44,30.0,2.6
Fairbanks,90,US,1604810935,85,64.84,-147.72,-4.44,1.32
Buala,83,SB,1604810935,71,-8.14,159.59,29.07,2.52
Fort Saint James,0,CA,1604810935,85,54.43,-124.25,-4.26,1.93
Avera,1,US,1604810936,100,33.19,-82.53,19.0,2.6
Toora-Khem,0,RU,1604810936,80,52.47,96.11,1.78,1.22
Takoradze,100,GH,1604810689,86,4.88,-1.76,25.92,2.98
Qaqortoq,100,GL,1604810937,79,60.72,-46.03,-3.0,4.6
Acapulco de Juárez,50,MX,1604810675,80,16.86,-99.89,25.74,1.87
Santo Domingo,75,DO,1604810937,94,18.5,-69.99,24.44,0.72
East Wenatchee Bench,90,US,1604810938,74,47.43,-120.28,3.33,1.5
Sherbakul',75,RU,1604810939,70,54.63,72.4,6.0,5.0
Svetlaya,58,RU,1604810939,65,46.54,138.33,3.93,3.3
Mana,30,GF,1604810939,82,5.66,-53.78,25.43,5.6
Monte Mor,0,BR,1604810940,77,-22.95,-47.32,18.0,7.7
Makubetsu,75,JP,1604810941,75,45.37,141.82,6.0,6.2
Eureka,42,US,1604810941,47,40.8,-124.16,10.0,0.45
Wisconsin Rapids,1,US,1604810941,71,44.38,-89.82,13.33,2.6
Whyalla,18,AU,1604810942,24,-33.03,137.58,27.0,6.7
Springbok,27,ZA,1604810701,89,-29.66,17.89,9.43,1.1
Teknāf,0,BD,1604810943,60,20.86,92.31,29.45,1.2
Balabac,100,PH,1604810943,76,7.99,117.06,28.47,4.53
China,0,MX,1604810882,78,25.7,-99.23,21.27,5.86
Solnechnyy,59,RU,1604810941,81,50.72,136.63,-4.77,2.75
Guymon,1,US,1604810944,67,36.68,-101.48,16.0,10.3
Burgeo,55,CA,1604810944,80,47.62,-57.62,1.86,3.93
Vila Franca do Campo,20,PT,1604810628,71,37.72,-25.43,14.0,3.1
Härnösand,0,SE,1604810945,86,62.63,17.94,1.11,1.5
Ola,99,RU,1604810945,88,59.58,151.28,-10.56,7.75
Olafsvik,58,IS,1604810946,72,64.89,-23.71,4.35,6.43
Waitati,1,NZ,1604810946,49,-45.75,170.57,12.22,5.81
Trairi,51,BR,1604810651,77,-3.28,-39.27,26.95,5.28
Marsh Harbour,100,BS,1604810661,77,26.54,-77.06,26.2,13.8
Severomuysk,99,RU,1604810947,93,56.15,113.43,-15.19,1.37
Wanning,34,CN,1604810948,69,18.8,110.4,26.59,7.88
Raudeberg,98,NO,1604810948,93,61.99,5.14,8.0,0.37
